set_title,set_description,set_subject,set_topic,set_year_group,question_text,answer_text
Basic Math,Fundamental operations of numbers,Mathematics,Arithmetic,Year 7,What is 2 + 2?,4
Basic Math,Fundamental operations of numbers,Mathematics,Arithmetic,Year 7,What is 5 * 3?,15
Basic Math,Fundamental operations of numbers,Mathematics,Arithmetic,Year 7,What is 10 / 2?,5
World Capitals,Major cities that serve as capitals,Geography,Countries,Year 8,Capital of France?,Paris
World Capitals,Major cities that serve as capitals,Geography,Countries,Year 8,Capital of Japan?,Tokyo
World Capitals,Major cities that serve as capitals,Geography,Countries,Year 8,Capital of Canada?,Ottawa
Science Terms,Common biological terms,Science,Biology,Year 9,What is photosynthesis?,The process by which green plants and some other organisms use sunlight to synthesize foods.
Science Terms,Common biological terms,Science,Biology,Year 9,What is cellular respiration?,The process by which organisms combine oxygen with foodstuff molecules, diverting the chemical energy in these substances into life-sustaining activities and discarding waste products such as carbon dioxide and water.
HSC Physics,Understanding forces and motion,Physics,Advanced Mechanics,Year 12,What is the formula for centripetal force?,F_c = (mv^2)/r
HSC Physics,Understanding electricity and magnetism,Physics,Electromagnetism,Year 12,State Lenz's Law.,An induced current will flow in a direction that opposes the change in magnetic flux that caused it.
HSC Physics,The nature of light,Physics,The Nature of Light,Year 12,What phenomenon demonstrates the particle nature of light?,Photoelectric effect
HSC Physics,Exploring the universe and atomic structure,Physics,From the Universe to the Atom,Year 12,What is the Pauli Exclusion Principle?,No two identical fermions can occupy the same quantum state simultaneously.
HSC Physics,Understanding forces and motion,Physics,Advanced Mechanics,Year 12,Define projectile motion.,The motion of an object thrown or projected into the air, subject only to the acceleration of gravity.
HSC Physics,Understanding electricity and magnetism,Physics,Electromagnetism,Year 12,How is magnetic field strength measured?,Tesla (T)
HSC Physics,The nature of light,Physics,The Nature of Light,Year 12,What is Snell's Law?,n1sin(θ1) = n2sin(θ2)
HSC Physics,Exploring the universe and atomic structure,Physics,From the Universe to the Atom,Year 12,What is a blackbody radiator?,An idealised physical body that absorbs all incident electromagnetic radiation, regardless of frequency or angle of incidence.
HSC Physics,Understanding forces and motion,Physics,Advanced Mechanics,Year 12,What is the principle of conservation of momentum?,In an isolated system, the total momentum remains constant.
HSC Physics,Understanding electricity and magnetism,Physics,Electromagnetism,Year 12,Explain Faraday's Law of Induction.,The magnitude of the induced electromotive force (EMF) in a circuit is proportional to the rate of change of magnetic flux through the circuit.
